Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
NS2	CY020289	Yes	8	849	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
NS2	CY066939	Yes	8	850	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	11/18/2010	
NS2	CY069385	Yes	8	844	H1N1	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1114P/2009(H1N1)	08/20/2010	
NS2	AY210169	No	8	838	H2N2	1963	IRD:Human	USA	New York	-N/A-	A/Albany/1/63(H2N2)	07/27/2006	
NS2	AY210176	No	8	838	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
NS2	CY021833	Yes	8	848	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
NS2	CY020321	Yes	8	850	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/2/1958(H2N2)	05/15/2007	
NS2	CY021097	Yes	8	848	H3N2	1974	IRD:Human	USA	New York	-N/A-	A/Albany/20/1974(H3N2)	05/15/2007	
NS2	CY020409	Yes	8	855	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/3/1967(H2N2)	05/15/2007	
NS2	CY021105	Yes	8	848	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	05/15/2007	
NS2	AY210157	No	8	838	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/6/58(H2N2)	07/27/2006	
NS2	AY210152	No	8	838	H2N2	1957	IRD:Human	USA	New York	-N/A-	A/Albany/7/57(H2N2)	07/27/2006	
NS2	GQ223425	Yes	8	851	H1N1	2009	IRD:Human	Japan	-N/A-	-N/A-	A/Amagasaki/1/2009(H1N1)	06/05/2009	
NS2	CY097952	Yes	8	838	H1N1	12/23/2010	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WRAIR3448N/2010	04/12/2012	
NS2	GQ396561	No	8	853	H1N1	04/29/2009	IRD:Human	Spain	-N/A-	08-09	A/Andalucia/GP286/2009(H1N1)	07/28/2009	
NS2	HM172266*	Yes	8	823	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	08/20/2010	
NS2	CY098684	No	8	838	H5N1	03/17/2007	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2007	12/14/2011	
NS2	AY210186	No	8	838	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/AnnArbor/7/67(H2N2)	07/27/2006	
NS2	CY074052	No	8	838	H1N1	06/22/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG5/2009(H1N1)	01/10/2011	
NS2	GQ232030	No	8	863	H1N1	05/07/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/07/2009(H1N1)	06/08/2009	
NS2	CY002958	Yes	8	889	H3N2	10/12/2004	IRD:Human	New Zealand	-N/A-	-N/A-	A/Ashburton/280/2004(H3N2)	07/27/2006	
NS2	CY062711	Yes	8	850	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS123/2009(H1N1)	05/14/2010	
NS2	CY071267	Yes	8	850	H1N1	01/30/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS411/2010(H1N1)	09/02/2010	
NS2	CY112376	Yes	8	864	Mixed	1982	IRD:Human	Australia	-N/A-	-N/A-	A/Auckland/4382/1982	04/12/2012	
NS2	CY112375	Yes	8	851	Mixed	1982	IRD:Human	Australia	-N/A-	-N/A-	A/Auckland/4382/1982	04/12/2012	
NS2	CY022585	Yes	8	857	H1N1	07/01/2005	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/619/2005(H1N1)	09/12/2007	
NS2	CY055569	Yes	8	850	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/12/2009(H1N1)	03/04/2010	
NS2	CY055577	Yes	8	850	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/13/2009(H1N1)	03/04/2010	
NS2	CY055593	Yes	8	850	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/15/2009(H1N1)	03/04/2010	
